Date,NOCP
5/9/2019,200.72
5/8/2019,202.9
5/7/2019,202.86
5/6/2019,208.48
5/3/2019,211.75
5/2/2019,209.15
5/1/2019,210.52
4/30/2019,200.67
4/29/2019,204.61
4/26/2019,204.3
4/25/2019,205.28
4/24/2019,207.16
4/23/2019,207.48
4/22/2019,204.53
4/18/2019,203.86
4/17/2019,203.13
4/16/2019,199.25
4/15/2019,199.23
4/12/2019,198.87
4/11/2019,198.95
4/10/2019,200.62
4/9/2019,199.5
4/8/2019,200.1
4/5/2019,197
4/4/2019,195.69
4/3/2019,195.35
4/2/2019,194.02
4/1/2019,191.24
3/29/2019,189.95
3/28/2019,188.72
3/27/2019,188.47
3/26/2019,186.79
3/25/2019,188.74
3/22/2019,191.05
3/21/2019,195.09
3/20/2019,188.16
3/19/2019,186.53
3/18/2019,188.02
3/15/2019,186.12
3/14/2019,183.73
3/13/2019,181.71
3/12/2019,180.91
3/11/2019,178.9
3/8/2019,172.91
3/7/2019,172.5
3/6/2019,174.52
3/5/2019,175.53
3/4/2019,175.85
3/1/2019,174.97
2/28/2019,173.15
2/27/2019,174.87
2/26/2019,174.33
2/25/2019,174.23
2/22/2019,172.97
2/21/2019,171.06
2/20/2019,172.03
2/19/2019,170.93
2/15/2019,170.42
2/14/2019,170.8
2/13/2019,170.18
2/12/2019,170.89
2/11/2019,169.43
2/8/2019,170.41
2/7/2019,170.94
2/6/2019,174.24
2/5/2019,174.18
2/4/2019,171.25
2/1/2019,166.52
1/31/2019,166.44
1/30/2019,165.25
1/29/2019,154.68
1/28/2019,156.3
1/25/2019,157.76
1/24/2019,152.7
1/23/2019,153.92
1/22/2019,153.3
1/18/2019,156.82
1/17/2019,155.86
1/16/2019,154.94
1/15/2019,153.07
1/14/2019,150
1/11/2019,152.29
1/10/2019,153.8
1/9/2019,153.31
1/8/2019,150.75
1/7/2019,147.93
1/4/2019,148.26
1/3/2019,142.19
1/2/2019,157.92
12/31/2018,157.74
12/28/2018,156.23
12/27/2018,156.15
12/26/2018,157.17
12/24/2018,146.83
12/21/2018,150.73
12/20/2018,156.83
12/19/2018,160.89
12/18/2018,166.07
12/17/2018,163.94
12/14/2018,165.48
12/13/2018,170.95
12/12/2018,169.1
12/11/2018,168.63
12/10/2018,169.6
12/7/2018,168.49
12/6/2018,174.72
12/4/2018,176.69
12/3/2018,184.82
11/30/2018,178.58
11/29/2018,179.55
11/28/2018,180.94
11/27/2018,174.24
11/26/2018,174.62
11/23/2018,172.29
11/21/2018,176.78
11/20/2018,176.98
11/19/2018,185.86
11/16/2018,193.53
11/15/2018,191.41
11/14/2018,186.8
11/13/2018,192.23
11/12/2018,194.17
11/9/2018,204.47
11/8/2018,208.49
11/7/2018,209.95
11/6/2018,203.77
11/5/2018,201.59
11/2/2018,207.48
11/1/2018,222.22
10/31/2018,218.86
10/30/2018,213.3
10/29/2018,212.24
10/26/2018,216.3
10/25/2018,219.8
10/24/2018,215.09
10/23/2018,222.73
10/22/2018,220.65
10/19/2018,219.31
10/18/2018,216.02
10/17/2018,221.19
10/16/2018,222.15
10/15/2018,217.36
10/12/2018,222.11
10/11/2018,214.45
10/10/2018,216.36
10/9/2018,226.87
10/8/2018,223.77
10/5/2018,224.29
10/4/2018,227.99
10/3/2018,232.07
10/2/2018,229.28
10/1/2018,227.26
9/28/2018,225.74
9/27/2018,224.95
9/26/2018,220.42
9/25/2018,222.19
9/24/2018,220.79
9/21/2018,217.66
9/20/2018,220.03
9/19/2018,218.37
9/18/2018,218.24
9/17/2018,217.88
9/14/2018,223.84
9/13/2018,226.41
9/12/2018,221.07
9/11/2018,223.85
9/10/2018,218.33
9/7/2018,221.3
9/6/2018,223.1
9/5/2018,226.87
9/4/2018,228.36
8/31/2018,227.63
8/30/2018,225.03
8/29/2018,222.98
8/28/2018,219.7
8/27/2018,217.94
8/24/2018,216.16
8/23/2018,215.49
8/22/2018,215.05
8/21/2018,215.04
8/20/2018,215.46
8/17/2018,217.58
8/16/2018,213.32
8/15/2018,210.24
8/14/2018,209.75
8/13/2018,208.87
8/10/2018,207.53
8/9/2018,208.88
8/8/2018,207.25
8/7/2018,207.11
8/6/2018,209.07
8/3/2018,207.99
8/2/2018,207.39
8/1/2018,201.5
7/31/2018,190.29
7/30/2018,189.91
7/27/2018,190.98
7/26/2018,194.21
7/25/2018,194.82
7/24/2018,193
7/23/2018,191.61
7/20/2018,191.44
7/19/2018,191.88
7/18/2018,190.4
7/17/2018,191.45
7/16/2018,190.91
7/13/2018,191.33
7/12/2018,191.03
7/11/2018,187.88
7/10/2018,190.35
7/9/2018,190.58
7/6/2018,187.97
7/5/2018,185.4
7/3/2018,183.92
7/2/2018,187.18
6/29/2018,185.11
6/28/2018,185.5
6/27/2018,184.16
6/26/2018,184.43
6/25/2018,182.17
6/22/2018,184.92
6/21/2018,185.46
6/20/2018,186.5
6/19/2018,185.69
6/18/2018,188.74
6/15/2018,188.84
6/14/2018,190.8
6/13/2018,190.7
6/12/2018,192.28
6/11/2018,191.23
6/8/2018,191.7
6/7/2018,193.46
6/6/2018,193.98
6/5/2018,193.31
6/4/2018,191.83
6/1/2018,190.24
5/31/2018,186.87
5/30/2018,187.5
5/29/2018,187.9
5/25/2018,188.58
5/24/2018,188.15
5/23/2018,188.36
5/22/2018,187.16
5/21/2018,187.63
5/18/2018,186.31
5/17/2018,186.99
5/16/2018,188.18
5/15/2018,186.44
5/14/2018,188.15
5/11/2018,188.59
