Date,NOCP
5/9/2019,1162.38
5/8/2019,1166.27
5/7/2019,1174.1
5/6/2019,1189.39
5/3/2019,1185.4
5/2/2019,1162.61
5/1/2019,1168.08
4/30/2019,1188.48
4/29/2019,1287.58
4/26/2019,1272.18
4/25/2019,1263.45
4/24/2019,1256
4/23/2019,1264.55
4/22/2019,1248.84
4/18/2019,1236.37
4/17/2019,1236.34
4/16/2019,1227.13
4/15/2019,1221.1
4/12/2019,1217.87
4/11/2019,1204.62
4/10/2019,1202.16
4/9/2019,1197.25
4/8/2019,1203.84
4/5/2019,1207.15
4/4/2019,1215
4/3/2019,1205.92
4/2/2019,1200.49
4/1/2019,1194.43
3/29/2019,1173.31
3/28/2019,1168.49
3/27/2019,1173.02
3/26/2019,1184.62
3/25/2019,1193
3/22/2019,1205.5
3/21/2019,1231.54
3/20/2019,1223.97
3/19/2019,1198.85
3/18/2019,1184.26
3/15/2019,1184.46
3/14/2019,1185.55
3/13/2019,1193.32
3/12/2019,1193.2
3/11/2019,1175.76
3/8/2019,1142.32
3/7/2019,1143.3
3/6/2019,1157.86
3/5/2019,1162.03
3/4/2019,1147.8
3/1/2019,1140.99
2/28/2019,1119.92
2/27/2019,1116.05
2/26/2019,1115.13
2/25/2019,1109.4
2/22/2019,1110.37
2/21/2019,1096.97
2/20/2019,1113.8
2/19/2019,1118.56
2/15/2019,1113.65
2/14/2019,1121.67
2/13/2019,1120.16
2/12/2019,1121.37
2/11/2019,1095.01
2/8/2019,1095.06
2/7/2019,1098.71
2/6/2019,1115.23
2/5/2019,1145.99
2/4/2019,1132.8
2/1/2019,1110.75
1/31/2019,1116.37
1/30/2019,1089.06
1/29/2019,1060.62
1/28/2019,1070.08
1/25/2019,1090.99
1/24/2019,1073.9
1/23/2019,1075.57
1/22/2019,1070.52
1/18/2019,1098.26
1/17/2019,1089.9
1/16/2019,1080.97
1/15/2019,1077.15
1/14/2019,1044.69
1/11/2019,1057.19
1/10/2019,1070.33
1/9/2019,1074.66
